## 
## THIS LEXICON: Adapted from MPQA Subjectivity Lexicon
## Source Lexicon URL: http://mpqa.cs.pitt.edu/lexicons/subj_lexicon/
## Source Lexicon Construction: manual, semi-automatic
##
## Other Notes:  
##    The subjectivity (reliability) scores are just numeric guestimates 
##    of the strongsubj and weaksubj labels used in the original lexicon.
##          strongsubj -> reliability=1
##          weaksubj -> reliability=0.25
##
## Line Format: WORD	POLARITY	SUBJECTIVITY_SCORE
abandon	negative	0.25
abandoned	negative	0.25
abandoning	negative	0.25
abandonment	negative	0.25
abandonments	negative	0.25
abandons	negative	0.25
abase	negative	1
abased	negative	1
abasement	negative	1
abasements	negative	1
abases	negative	1
abash	negative	1
abashed	negative	1
abashes	negative	1
abashing	negative	1
abasing	negative	1
abate	positive	0.25
abated	positive	0.25
abates	positive	0.25
abating	positive	0.25
abdicate	negative	0.25
abdicated	negative	0.25
abdicates	negative	0.25
abdicating	negative	0.25
aberration	negative	1
aberrations	negative	1
abhor	negative	1
abhorred	negative	1
abhorrence	negative	1
abhorrences	negative	1
abhorrent	negative	1
abhorrently	negative	1
abhorring	negative	1
abhors	negative	1
abidance	positive	1
abide	positive	1
abided	positive	1
abides	positive	1
abiding	positive	1
abilities	positive	0.25
ability	positive	0.25
abject	negative	1
abjectly	negative	1
abjure	negative	0.25
abjured	negative	0.25
abjures	negative	0.25
abjuring	negative	0.25
able	positive	0.25
abled	positive	0.25
abler	positive	0.25
ablest	positive	0.25
abnormal	negative	0.25
abode	positive	1
abolish	negative	0.25
abolished	negative	0.25
abolishes	negative	0.25
abolishing	negative	0.25
abominable	negative	1
abominably	negative	1
abominate	negative	1
abominated	negative	1
abominates	negative	1
abominating	negative	1
abomination	negative	1
abominations	negative	1
abound	positive	0.25
abounded	positive	0.25
abounding	positive	0.25
abounds	positive	0.25
above	positive	0.25
above-average	positive	0.25
abrade	negative	0.25
abraded	negative	0.25
abrades	negative	0.25
abrading	negative	0.25
abrasive	negative	1
abrupt	negative	0.25
abscond	negative	1
absconded	negative	1
absconding	negative	1
absconds	negative	1
absence	negative	0.25
absences	negative	0.25
absent-minded	negative	1
absentee	negative	0.25
absentees	negative	0.25
absolve	positive	1
absolved	positive	1
absolves	positive	1
absolving	positive	1
absurd	negative	1
absurdities	negative	1
absurdity	negative	1
absurdly	negative	1
absurdness	negative	1
abundance	positive	0.25
abundances	positive	0.25
abundant	positive	0.25
abuse	negative	0.25
abused	negative	0.25
abuses	negative	0.25
abusing	negative	0.25
abusive	negative	1
abysmal	negative	1
abysmally	negative	1
abyss	negative	1
abysses	negative	1
accede	positive	1
acceded	positive	1
accedes	positive	1
acceding	positive	1
accept	positive	0.25
acceptable	positive	0.25
acceptance	positive	0.25
acceptances	positive	0.25
accepted	positive	0.25
accepting	positive	0.25
accepts	positive	0.25
accessible	positive	1
accidental	negative	0.25
acclaim	positive	1
acclaimed	positive	1
acclaiming	positive	1
acclaims	positive	1
acclamation	positive	1
acclamations	positive	1
accolade	positive	1
accolades	positive	1
accommodative	positive	0.25
accomplish	positive	0.25
accomplished	positive	0.25
accomplishes	positive	0.25
accomplishing	positive	0.25
accomplishment	positive	0.25
accomplishments	positive	0.25
accord	positive	0.25
accordance	positive	0.25
accordances	positive	0.25
accordantly	positive	0.25
accorded	positive	0.25
according	positive	0.25
accords	positive	0.25
accost	negative	0.25
accosted	negative	0.25
accosting	negative	0.25
accosts	negative	0.25
accountable	negative	0.25
accurate	positive	0.25
accurately	positive	0.25
accursed	negative	1
accusation	negative	1
accusations	negative	1
accuse	negative	1
accused	negative	1
accuses	negative	1
accusing	negative	1
accusingly	negative	1
acerbate	negative	1
acerbated	negative	1
acerbates	negative	1
acerbating	negative	1
acerbic	negative	1
acerbically	negative	1
ache	negative	1
ached	negative	1
aches	negative	1
achievable	positive	0.25
achieve	positive	0.25
achieved	positive	0.25
achievement	positive	0.25
achievements	positive	0.25
achieves	positive	0.25
achieving	positive	0.25
aching	negative	1
acknowledge	positive	0.25
acknowledged	positive	0.25
acknowledgement	positive	0.25
acknowledgements	positive	0.25
acknowledges	positive	0.25
acknowledging	positive	0.25
acquit	positive	0.25
acquits	positive	0.25
acquitted	positive	0.25
acquitting	positive	0.25
acrid	negative	1
acridly	negative	1
acridness	negative	1
acrimonies	negative	1
acrimonious	negative	1
acrimoniously	negative	1
acrimony	negative	1
active	positive	0.25
acumen	positive	1
acumens	positive	1
adamant	negative	1
adamantly	negative	1
adaptabilities	positive	0.25
adaptability	positive	0.25
adaptable	positive	0.25
adaptive	positive	0.25
addict	negative	0.25
addiction	negative	0.25
addictions	negative	0.25
addicts	negative	0.25
adept	positive	0.25
adeptly	positive	0.25
adequate	positive	0.25
adherence	positive	0.25
adherences	positive	0.25
adherent	positive	0.25
adhesion	positive	0.25
adhesions	positive	0.25
admirable	positive	1
admirably	positive	1
admiration	positive	1
admirations	positive	1
admire	positive	1
admired	positive	1
admirer	positive	1
admirers	positive	1
admires	positive	1
admiring	positive	1
admiringly	positive	1
admission	positive	0.25
admissions	positive	0.25
admit	positive	1
admits	positive	1
admitted	positive	1
admittedly	positive	1
admitting	positive	1
admonish	negative	1
admonished	negative	1
admonisher	negative	1
admonishers	negative	1
admonishes	negative	1
admonishing	negative	1
admonishingly	negative	1
admonishment	negative	1
admonishments	negative	1
admonition	negative	1
admonitions	negative	1
adorable	positive	1
adore	positive	1
adored	positive	1
adorer	positive	1
adorers	positive	1
adores	positive	1
adoring	positive	1
adoringly	positive	1
adrift	negative	0.25
adroit	positive	1
adroitly	positive	1
adulate	positive	1
adulated	positive	1
adulates	positive	1
adulating	positive	1
adulation	positive	1
adulations	positive	1
adulatory	positive	1
adulterate	negative	1
adulterated	negative	1
adulterates	negative	1
adulterating	negative	1
adulteration	negative	1
adulterations	negative	1
advanced	positive	0.25
advantage	positive	0.25
advantaged	positive	0.25
advantageous	positive	1
advantages	positive	0.25
adventure	positive	0.25
adventures	positive	0.25
adventuresome	positive	1
adventurism	positive	1
adventurisms	positive	1
adventurous	positive	0.25
adversarial	negative	0.25
adversaries	negative	0.25
adversary	negative	0.25
adverse	negative	0.25
adversities	negative	1
adversity	negative	1
advice	positive	0.25
advices	positive	0.25
advisable	positive	0.25
advocacies	positive	1
advocacy	positive	1
advocate	positive	1
advocated	positive	1
advocates	positive	1
advocating	positive	1
affability	positive	0.25
affable	positive	1
affably	positive	0.25
affectation	negative	0.25
affectations	negative	0.25
affection	positive	1
affectionate	positive	1
affections	positive	1
affinities	positive	0.25
affinity	positive	0.25
affirm	positive	1
affirmation	positive	1
affirmations	positive	1
affirmative	positive	0.25
affirmatives	positive	0.25
affirmed	positive	1
affirming	positive	1
affirms	positive	1
afflict	negative	0.25
afflicted	negative	0.25
afflicting	negative	0.25
affliction	negative	0.25
afflictions	negative	0.25
afflictive	negative	1
afflicts	negative	0.25
affluence	positive	0.25
affluent	positive	0.25
afford	positive	0.25
affordable	positive	0.25
afforded	positive	0.25
affording	positive	0.25
affords	positive	0.25
affront	negative	1
affronted	negative	1
affronting	negative	1
affronts	negative	1
afloat	positive	0.25
afraid	negative	1
against	negative	0.25
aggravate	negative	1
aggravated	negative	1
aggravates	negative	1
aggravating	negative	1
aggravation	negative	1
aggravations	negative	1
aggression	negative	1
aggressions	negative	1
aggressive	negative	1
aggressiveness	negative	1
aggressor	negative	1
aggressors	negative	1
aggrieve	negative	1
aggrieved	negative	1
aggrieves	negative	1
aggrieving	negative	1
aghast	negative	1
agile	positive	0.25
agilely	positive	0.25
agilities	positive	0.25
agility	positive	0.25
agitate	negative	1
agitated	negative	1
agitates	negative	1
agitating	negative	1
agitation	negative	1
agitations	negative	1
agitator	negative	1
agitators	negative	1
agonies	negative	1
agonize	negative	1
agonized	negative	1
agonizes	negative	1
agonizing	negative	1
agonizingly	negative	1
agony	negative	1
agree	positive	1
agreeabilities	positive	1
agreeability	positive	1
agreeable	positive	1
agreeableness	positive	1
agreeably	positive	1
agreed	positive	1
agreeing	positive	1
agreement	positive	0.25
agreements	positive	0.25
agrees	positive	1
ail	negative	0.25
ailed	negative	0.25
ailing	negative	0.25
ailment	negative	0.25
ailments	negative	0.25
ails	negative	0.25
aimless	negative	1
alarm	negative	0.25
alarmed	negative	1
alarming	negative	1
